Highlight,Book Title,Book Author,Amazon Book ID,Note,Color,Tags,Location Type,Location,Highlighted at,Document tags
"Remember how long thou hast already put off these things, and how often a certain day and hour as it were, having been set unto thee by the gods, thou hast neglected it.",Meditations,Marcus Aurelius,,,yellow,,location,100,2026-03-01T08:00:00Z,
"It is high time for thee to understand the true nature both of the world, whereof thou art a part; and of that Lord and Governor of the world, from whom, as a channel from the spring, thou thyself didst flow",Meditations,Marcus Aurelius,,,yellow,,location,104,2026-03-01T15:00:00Z,
"there is but a certain limit of time appointed unto thee, which if thou shalt not make use of to calm and allay the many distempers of thy soul, it will pass away and thou with it, and never after return.",Meditations,Marcus Aurelius,,"Deadline for the soul, not the calendar.",pink,,location,109,2026-03-01T22:00:00Z,
"Let it be thy earnest and incessant care as a Roman and a man to perform whatsoever it is that thou art about, with true and unfeigned gravity, natural affection, freedom and justice",Meditations,Marcus Aurelius,,,yellow,,location,115,2026-03-02T05:00:00Z,
"go about every action as thy last action, free from all vanity, all passionate and wilful aberration from reason, and from all hypocrisy, and self-love",Meditations,Marcus Aurelius,,Morning rule: the first task as if it were the last.,pink,,location,122,2026-03-02T12:00:00Z,
"Every man's happiness depends from himself, but behold thy life is almost at an end, whiles affording thyself no respect, thou dost make thy happiness to consist in the souls, and conceits of other men.",Meditations,Marcus Aurelius,,,yellow,,location,138,2026-03-02T19:00:00Z,
"Why should any of these things that happen externally, so much distract thee? Give thyself leisure to learn some good thing, and cease roving and wandering to and fro.",Meditations,Marcus Aurelius,,,yellow,,location,143,2026-03-03T02:00:00Z,
"they are idle in their actions, who toil and labour in this life, and have no certain scope to which to direct all their motions, and desires.",Meditations,Marcus Aurelius,,,yellow,,location,148,2026-03-03T09:00:00Z,
"For not observing the state of another man's soul, scarce was ever any man known to be unhappy.",Meditations,Marcus Aurelius,,,yellow,,location,152,2026-03-03T16:00:00Z,
"Tell whosoever they be that intend not, and guide not by reason and discretion the motions of their own souls, they must of necessity be unhappy.",Meditations,Marcus Aurelius,,,yellow,,location,154,2026-03-03T23:00:00Z,
